level,node_id,node_label,pid,pos_list,team,pos_list_fmt,node_customdata,node_color,node_color_alt
pid,2306,Jameis Winston,2306,"('QB',)",NO,QB, [QB-NO],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,10217,Clayton Tune,10217,"('QB',)",ARI,QB, [QB-ARI],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,9999,Will Levis,9999,"('QB',)",TEN,QB, [QB-TEN],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,6797,Justin Herbert,6797,"('QB',)",LAC,QB, [QB-LAC],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,7538,Zach Wilson,7538,"('QB',)",NYJ,QB, [QB-NYJ],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,5870,Daniel Jones,5870,"('QB',)",NYG,QB, [QB-NYG],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,9758,C.J. Stroud,9758,"('QB',)",HOU,QB, [QB-HOU],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,2028,Derek Carr,2028,"('QB',)",NO,QB, [QB-NO],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,2307,Marcus Mariota,2307,"('QB',)",PHI,QB, [QB-PHI],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,8183,Brock Purdy,8183,"('QB',)",SF,QB, [QB-SF],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,1166,Kirk Cousins,1166,"('QB',)",MIN,QB, [QB-MIN],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,6904,Jalen Hurts,6904,"('QB',)",PHI,QB, [QB-PHI],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,4179,Joshua Dobbs,4179,"('QB',)",MIN,QB, [QB-MIN],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,7083,Tyler Huntley,7083,"('QB',)",BAL,QB, [QB-BAL],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,4881,Lamar Jackson,4881,"('QB',)",BAL,QB, [QB-BAL],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,1049,Ryan Tannehill,1049,"('QB',)",TEN,QB, [QB-TEN],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,2711,Taylor Heinicke,2711,"('QB',)",ATL,QB, [QB-ATL],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,6804,Jordan Love,6804,"('QB',)",GB,QB, [QB-GB],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,3294,Dak Prescott,3294,"('QB',)",DAL,QB, [QB-DAL],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,10860,Malik Cunningham,10860,"('QB',)",BAL,QB, [QB-BAL],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,4984,Josh Allen,4984,"('QB',)",BUF,QB, [QB-BUF],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,10866,Aidan O'Connell,10866,"('QB',)",LV,QB, [QB-LV],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,9998,Hendon Hooker,9998,"('QB',)",DET,QB, [QB-DET],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
pid,4943,Sam Darnold,4943,"('QB',)",SF,QB, [QB-SF],"rgb(235, 67, 111)","rgba(235,67,111,.1)"
